iter	Passed	Remaining
0	0	38
1	0	38
2	1	36
3	1	34
4	1	33
5	2	33
6	2	33
7	2	33
8	3	33
9	3	33
10	4	33
11	4	32
12	4	32
13	5	31
14	5	31
15	5	30
16	6	30
17	6	30
18	6	29
19	7	29
20	7	28
21	7	28
22	8	27
23	8	27
24	9	27
25	9	26
26	9	26
27	10	26
28	10	25
29	10	25
30	11	25
31	11	24
32	12	24
33	12	24
34	12	23
35	13	23
36	13	22
37	13	22
38	14	21
39	14	21
40	14	21
41	14	20
42	15	20
43	15	19
44	15	19
45	16	19
46	16	18
47	17	18
48	17	18
49	17	17
50	18	17
51	18	17
52	18	16
53	19	16
54	19	15
55	19	15
56	20	15
57	20	14
58	21	14
59	21	14
60	21	13
61	22	13
62	22	13
63	22	12
64	23	12
65	23	12
66	23	11
67	24	11
68	24	11
69	24	10
70	25	10
71	25	9
72	25	9
73	26	9
74	26	8
75	27	8
76	27	8
77	27	7
78	28	7
79	28	7
80	28	6
81	29	6
82	29	6
83	29	5
84	30	5
85	30	4
86	30	4
87	31	4
88	31	3
89	32	3
90	32	3
91	32	2
92	32	2
93	33	2
94	33	1
95	34	1
96	34	1
97	34	0
98	35	0
99	35	0
